amount,category,county,date,paon,postcode,saon,street,town
180000,Standard price paid transaction,HERTFORDSHIRE,1996-07-26,3,WD4 9JT,,HIGHFIELD,KINGS LANGLEY
206650,Standard price paid transaction,HERTFORDSHIRE,1995-02-23,5,WD4 9JT,,HIGHFIELD,KINGS LANGLEY
240000,Standard price paid transaction,HERTFORDSHIRE,1997-02-25,5,WD4 9JT,,HIGHFIELD,KINGS LANGLEY
285000,Standard price paid transaction,HERTFORDSHIRE,1997-12-12,1,WD4 9JT,,HIGHFIELD,KINGS LANGLEY
300000,Standard price paid transaction,HERTFORDSHIRE,1999-02-15,6,WD4 9JT,,HIGHFIELD,KINGS LANGLEY
315000,Standard price paid transaction,HERTFORDSHIRE,1999-06-14,2,WD4 9JT,,HIGHFIELD,KINGS LANGLEY
385000,Standard price paid transaction,HERTFORDSHIRE,2000-11-03,1,WD4 9JT,,HIGHFIELD,KINGS LANGLEY
438000,Standard price paid transaction,HERTFORDSHIRE,2002-06-20,5,WD4 9JT,,HIGHFIELD,KINGS LANGLEY
570000,Standard price paid transaction,HERTFORDSHIRE,2007-04-30,2,WD4 9JT,,HIGHFIELD,KINGS LANGLEY
845000,Standard price paid transaction,HERTFORDSHIRE,2015-08-13,5,WD4 9JT,,HIGHFIELD,KINGS LANGLEY
200000,Standard price paid transaction,HERTFORDSHIRE,1995-03-24,BEECHCROFT,WD4 9LZ,,BARNES LANE,KINGS LANGLEY
222000,Standard price paid transaction,HERTFORDSHIRE,1996-08-02,MAPLECROFT,WD4 9LZ,,BARNES LANE,KINGS LANGLEY
490000,Standard price paid transaction,HERTFORDSHIRE,2004-05-14,BEECHCROFT,WD4 9LZ,,BARNES LANE,KINGS LANGLEY
770000,Standard price paid transaction,HERTFORDSHIRE,2014-12-19,MAPLECROFT,WD4 9LZ,,BARNES LANE,KINGS LANGLEY
930000,Standard price paid transaction,HERTFORDSHIRE,2017-04-13,MAPLECROFT,WD4 9LZ,,BARNES LANE,KINGS LANGLEY
395000,Standard price paid transaction,HERTFORDSHIRE,1999-10-25,THORNHILL,WD4 9LA,,BARNES LANE,KINGS LANGLEY
420000,Standard price paid transaction,HERTFORDSHIRE,1998-11-12,NORTH BARN,WD4 9LA,,BARNES LANE,KINGS LANGLEY
445000,Standard price paid transaction,HERTFORDSHIRE,2005-03-04,THORNHILL,WD4 9LA,,BARNES LANE,KINGS LANGLEY
485000,Standard price paid transaction,HERTFORDSHIRE,2006-07-27,HARDWICK,WD4 9LA,,BARNES LANE,KINGS LANGLEY
747000,Standard price paid transaction,HERTFORDSHIRE,2002-11-29,NORTH BARN,WD4 9LA,,BARNES LANE,KINGS LANGLEY
1180000,Standard price paid transaction,HERTFORDSHIRE,2006-06-30,NORTH BARN,WD4 9LA,,BARNES LANE,KINGS LANGLEY
1292500,Standard price paid transaction,HERTFORDSHIRE,2015-10-09,SOUTH BARN,WD4 9LA,,BARNES LANE,KINGS LANGLEY
110000,Standard price paid transaction,HERTFORDSHIRE,1996-02-16,2,WD4 9HN,,LOVE LANE,KINGS LANGLEY
180000,Standard price paid transaction,HERTFORDSHIRE,1996-03-06,LAVENDER COTTAGE,WD4 9HN,,LOVE LANE,KINGS LANGLEY
180000,Standard price paid transaction,HERTFORDSHIRE,1996-03-29,LITTLE PARPINS,WD4 9HN,,LOVE LANE,KINGS LANGLEY
195000,Standard price paid transaction,HERTFORDSHIRE,1997-10-31,LAVENDER COTTAGE,WD4 9HN,,LOVE LANE,KINGS LANGLEY
195000,Standard price paid transaction,HERTFORDSHIRE,1995-06-26,STOCKLEY,WD4 9HN,,LOVE LANE,KINGS LANGLEY
338500,Standard price paid transaction,HERTFORDSHIRE,2003-05-16,THE OASIS,WD4 9HN,,LOVE LANE,KINGS LANGLEY
340000,Standard price paid transaction,HERTFORDSHIRE,2006-09-01,SILVERSTONE LODGE,WD4 9HN,,LOVE LANE,KINGS LANGLEY
401000,Standard price paid transaction,HERTFORDSHIRE,2002-08-29,FREEHILLS,WD4 9HN,,LOVE LANE,KINGS LANGLEY
420000,Standard price paid transaction,HERTFORDSHIRE,2004-05-27,2,WD4 9HN,,LOVE LANE,KINGS LANGLEY
432500,Standard price paid transaction,HERTFORDSHIRE,2009-07-31,GREENRIDGE,WD4 9HN,,LOVE LANE,KINGS LANGLEY
